source,relation,target
CAPEC-76,maps_to,T1543.002
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP20VGK-ET2
CAPEC-672,maps_to,T1204.002
CAPEC-259,maps_to,T1527
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP22VGKD-A1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG2V-EN2
CVE-2026-42895,affects,Microsoft:Microsoft 365 Copilot
CAPEC-108,maps_to,T1514
CVE-2026-12300,affects,Mozilla:Thunderbird
CWE-74,mapped_to,CAPEC-72
CAPEC-65,maps_to,T1499.003
CAPEC-38,maps_to,T1592.004
CAPEC-580,maps_to,T1601
CAPEC-388,maps_to,T1550.001
CAPEC-2,maps_to,T1003.002
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF25VGK2W-E1
CVE-2026-49952,has_weakness,CWE-323
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR35VFK-ET1
CVE-2026-11374,has_weakness,CWE-330
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN18VG2R-ET1
CAPEC-549,maps_to,T1546.012
T1546.013,mitigated_by,Restrict File and Directory Permissions
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-BKR6324S-W
CVE-2025-7737,affects,"Hitachi:Hitachi Virtual Storage Platform E390, E590, E790, E390H, E590H, E790H"
CVE-2026-12457,affects,Google:Chrome
CVE-2025-69167,affects,ThemeREX:Eros
CAPEC-677,maps_to,T1554
CAPEC-541,maps_to,T1546.011
CAPEC-220,maps_to,T1565
CAPEC-694,maps_to,T1082
CAPEC-186,maps_to,T1204.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2824S-W
CVE-2026-56020,affects,Webmin:Webmin
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV7121S-T
CAPEC-200,maps_to,T1027.005
CVE-2026-0132,has_weakness,CWE-122
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW9020S-T
CVE-2026-56235,affects,Cap-go:capgo
CAPEC-264,maps_to,T1548.006
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT50VGK-ET1
CVE-2026-56074,has_weakness,CWE-863
CAPEC-519,maps_to,T1497.001
CWE-707,mapped_to,CAPEC-277
CVE-2026-12706,has_weakness,CWE-416
CWE-200,mapped_to,CAPEC-326
CAPEC-533,maps_to,T1518
CAPEC-635,maps_to,T1203
CAPEC-453,maps_to,T1600.002
CVE-2026-6039,has_weakness,CWE-787
T1052,mitigated_by,Disable or Remove Feature or Program
CVE-2026-44188,affects,Red Hat:Red Hat Ansible Automation Platform 2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Heat Pump Water Heaters / HEMS-Compatible Adapters / Wireless LAN Adapters (for Japan) GT-HEM4
CVE-2026-38715,affects,n/a:n/a
CWE-1242,mapped_to,CAPEC-212
CVE-2026-55654,affects,Red Hat:Red Hat Enterprise Linux 8
CVE-2025-69131,has_weakness,CWE-22
CVE-2026-39118,has_weakness,CWE-269
CAPEC-534,maps_to,T1592.001
CVE-2026-56242,affects,Capgo:Capgo
CAPEC-539,maps_to,T1204.004
CWE-77,mapped_to,CAPEC-40
CVE-2026-40751,has_weakness,CWE-502
CAPEC-443,maps_to,T1204.001
T1078.002,mitigated_by,Privileged Account Management
CAPEC-680,maps_to,T1211
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VGB-E1
CAPEC-461,maps_to,T1215
CAPEC-150,maps_to,T1114
T1543.005,mitigated_by,Software Configuration
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MFZ-KW25VGK-A1
CAPEC-655,maps_to,T1518.001
CAPEC-109,maps_to,T1619
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP60VGK-ET3
CWE-20,mapped_to,CAPEC-101
CVE-2026-54298,has_weakness,CWE-79
CVE-2026-27407,has_weakness,CWE-266
CAPEC-257,maps_to,T1583
CVE-2026-46873,has_weakness,CWE-269
CWE-689,mapped_to,CAPEC-26
CVE-2026-39533,has_weakness,CWE-862
CVE-2026-6653,has_weakness,CWE-611
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY25VGKP-SC1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG2V-SC3
CVE-2026-10303,has_weakness,CWE-73
CAPEC-76,maps_to,T1082
CAPEC-259,maps_to,T1190
CVE-2026-22674,has_weakness,CWE-79
CAPEC-57,maps_to,T1613
CAPEC-648,maps_to,T1125
CWE-307,mapped_to,CAPEC-560
CAPEC-698,maps_to,T1505.006
CAPEC-551,maps_to,T1578.005
CWE-404,mapped_to,CAPEC-666
CAPEC-608,maps_to,T1079
T1593.003,mitigated_by,Application Developer Guidance
CAPEC-248,maps_to,T1690
CVE-2026-11374,affects,zohocorp:manageengine_adaudit_plus
CAPEC-649,maps_to,T1151
CAPEC-529,maps_to,T1491.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG2W-ET5
CAPEC-585,maps_to,T1574.014
CVE-2026-49062,has_weakness,CWE-288
CVE-2026-46939,affects,Oracle Corporation:Oracle Configure to Order
CVE-2026-39196,affects,n/a:n/a
CVE-2026-55746,affects,Cotonti:Cotonti
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2826S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW5621S-W-1
CVE-2026-35284,has_weakness,CWE-284
CVE-2026-12581,has_weakness,CWE-384
CAPEC-694,maps_to,T1053.006
CAPEC-277,maps_to,T1565
CVE-2026-44932,affects,SUSE:wicked
CAPEC-111,maps_to,T1553.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF25VGKB-A1
CVE-2026-27395,affects,Schiocco:Support Board
CWE-263,mapped_to,CAPEC-653
CVE-2026-56080,has_weakness,CWE-287
CAPEC-220,maps_to,T1048.003
T1543.001,mitigated_by,Restrict File and Directory Permissions
CWE-290,mapped_to,CAPEC-461
CAPEC-159,maps_to,T1108
CAPEC-306,maps_to,T1686.003
CVE-2026-46774,affects,Oracle Corporation:Oracle Unified Directory
CAPEC-610,maps_to,T1546.012
CAPEC-581,maps_to,T1219.002
CVE-2026-50178,affects,angular:Angular.ng-template
CAPEC-521,maps_to,T1200
CVE-2026-12314,has_weakness,CWE-416
CAPEC-677,maps_to,T1195
CVE-2026-35298,has_weakness,CWE-284
CVE-2026-0137,has_weakness,CWE-416
T1567,mitigated_by,Restrict Web-Based Content
CVE-2025-69108,has_weakness,CWE-502
CVE-2026-46918,has_weakness,CWE-284
CVE-2026-56411,has_weakness,CWE-190
T1528,mitigated_by,User Account Management
CAPEC-571,maps_to,T1595.001
CAPEC-276,maps_to,T1494
CAPEC-185,maps_to,T1204.004
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY35VGK2-E2
CVE-2026-35065,has_weakness,CWE-306
CVE-2026-42668,affects,Omnisend:Email Marketing for WooCommerce by Omnisend
CVE-2026-55744,has_weakness,CWE-352
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-HXV2523-W-1
CVE-2026-44663,has_weakness,CWE-787
CVE-2026-50141,has_weakness,CWE-639
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK5624S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT25VGK2-E1
CVE-2026-49268,has_weakness,CWE-90
CAPEC-148,maps_to,T1683.001
CAPEC-253,maps_to,T1114.002
CAPEC-641,maps_to,T1073
T1059.013,mitigated_by,Execution Prevention
CVE-2026-48980,affects,mcdope:pam_usb
CAPEC-253,maps_to,T1210
CWE-693,mapped_to,CAPEC-107
CVE-2024-52488,affects,Zidithemes:Grip
CAPEC-306,maps_to,T1047
CVE-2026-0081,affects,Google:Android
CAPEC-385,maps_to,T1218.015
CAPEC-260,maps_to,T1037
CAPEC-265,maps_to,T1492
CVE-2026-24610,has_weakness,CWE-862
CAPEC-65,maps_to,T1095
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZY4024S-W
T1555.003,mitigated_by,Update Software
T1489,mitigated_by,Restrict Registry Permissions
CAPEC-158,maps_to,T1599
T1136.001,mitigated_by,Privileged Account Management
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN18VG2B-E3
CWE-1325,mapped_to,CAPEC-130
CAPEC-166,maps_to,T1016
CVE-2026-46912,has_weakness,CWE-284
CWE-923,mapped_to,CAPEC-481
CAPEC-625,maps_to,T1059.008
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Wireless LAN Adapters for Room Air Conditioners (outside Japan) MAC-567IF-E1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG4FL-E1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP22VGKD-A2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-BKR2824-W
CVE-2026-35162,has_weakness,CWE-284
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW2226-W
CVE-2017-20272,has_weakness,CWE-89
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG3V-A1
CVE-2026-54264,has_weakness,CWE-359
CVE-2026-49287,has_weakness,CWE-470
CVE-2026-49765,has_weakness,CWE-502
CAPEC-241,maps_to,T1055.001
CAPEC-276,maps_to,T1565.002
CAPEC-650,maps_to,T1584.004
CVE-2026-46773,affects,Oracle Corporation:Oracle Unified Directory
CAPEC-54,maps_to,T1216
CVE-2026-49241,has_weakness,CWE-494
CAPEC-583,maps_to,T1037.003
CVE-2026-56355,has_weakness,CWE-696
CVE-2026-47777,has_weakness,CWE-345
CAPEC-555,maps_to,T1505.005
CAPEC-551,maps_to,T1538
CVE-2026-46888,has_weakness,CWE-284
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-HXV5625S-W
CAPEC-187,maps_to,T1195.001
CAPEC-656,maps_to,T1598.002
CAPEC-445,maps_to,T1047
CAPEC-166,maps_to,T1044
CVE-2025-60218,affects,WPLocker:PT Luxa Addons
CVE-2018-25436,affects,Shipster:Baggage Freight Shipping Australia
CVE-2019-25760,has_weakness,CWE-98
CVE-2026-54186,has_weakness,CWE-89
CAPEC-68,maps_to,T1553
CWE-749,mapped_to,CAPEC-500
CVE-2026-56381,affects,craftcms:cms
CAPEC-471,maps_to,T1574.006
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EX4024E4S-W
CWE-94,mapped_to,CAPEC-242
CAPEC-9,maps_to,T1127
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-JXV3623S-T
CWE-1311,mapped_to,CAPEC-1
CVE-2026-40770,affects,RelyWP:Coupon Affiliates
CVE-2026-11833,affects,Yokogawa Electric Corporation:FAST/TOOLS
CAPEC-170,maps_to,T1017
CVE-2026-42662,affects,Liquid Web / StellarWP:Event Tickets
CAPEC-138,maps_to,T1055.011
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZD6325S-W
CVE-2026-52704,affects,Edgar Rojas:WooCommerce PDF Invoice Builder
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP25VGKD-A1
T1003.001,mitigated_by,Behavior Prevention on Endpoint
CAPEC-108,maps_to,T1547
CVE-2026-44272,has_weakness,CWE-89
CWE-201,mapped_to,CAPEC-217
CAPEC-445,maps_to,T1134
CVE-2026-12098,has_weakness,CWE-79
CVE-2026-8089,affects,"Unknown:weMail: Email Marketing, Email Automation, Newsletters, Subscribers & Email Optins for WooCommerce"
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR25VFK-E6
CAPEC-462,maps_to,T1596
CAPEC-388,maps_to,T1546.011
CAPEC-383,maps_to,T1592
CAPEC-653,maps_to,T1555
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-VXV6322S-W
T1489,mitigated_by,Restrict File and Directory Permissions
CAPEC-548,maps_to,T1666
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT20VGK2-E2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG4FL-E1
CVE-2026-56406,has_weakness,CWE-190
T1556.006,mitigated_by,User Account Management
CAPEC-580,maps_to,T1499.004
CVE-2026-0646,has_weakness,CWE-401
T1203,mitigated_by,Application Isolation and Sandboxing
CAPEC-445,maps_to,T1565.002
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-NXV5626S-W
CVE-2026-34021,affects,Wertheim GmbH:Wertheim SafeController 5400 Hardware for VAULT ROOMS (Safe Deposit Locker System - Microcontroller)
CVE-2025-69147,affects,ThemeREX:Putter
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM6322E1S-W
T1070.007,mitigated_by,Remote Data Storage
CAPEC-193,maps_to,T1021
CWE-200,mapped_to,CAPEC-312
CAPEC-478,maps_to,T1150
CAPEC-405,maps_to,T1586.001
CVE-2026-0082,affects,Google:Android
CAPEC-478,maps_to,T1035
CAPEC-234,maps_to,T1564.010
CAPEC-575,maps_to,T1586.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF50VGKB-ET1
CVE-2026-56208,affects,Red Hat:Red Hat Hardened Images
CAPEC-470,maps_to,T1497.001
T1684,mitigated_by,Account Use Policies
CWE-120,mapped_to,CAPEC-14
CAPEC-129,maps_to,T1548.006
CAPEC-472,maps_to,T1036.012
CAPEC-672,maps_to,T1204.004
CAPEC-586,maps_to,T1559.001
CVE-2026-12772,affects,BerriAI:litellm
T1590.005,mitigated_by,Pre-compromise
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV8020S-W
CAPEC-466,maps_to,T1595
CAPEC-234,maps_to,T1547.012
CVE-2026-12223,has_weakness,CWE-74
CAPEC-108,maps_to,T1659
CAPEC-153,maps_to,T1141
CVE-2016-20077,has_weakness,CWE-98
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF25VGKS-ER2
CVE-2026-46928,has_weakness,CWE-287
CAPEC-456,maps_to,T1003.001
CAPEC-550,maps_to,T1001.003
CAPEC-535,maps_to,T1200
CAPEC-431,maps_to,T1608.005
CAPEC-678,maps_to,T1003.007
CWE-300,mapped_to,CAPEC-612
CWE-522,mapped_to,CAPEC-474
CVE-2026-7300,has_weakness,CWE-120
CVE-2026-41708,has_weakness,CWE-400
T1110.001,mitigated_by,Password Policies
T1573,mitigated_by,SSL/TLS Inspection
CWE-1332,mapped_to,CAPEC-625
CAPEC-260,maps_to,T1164
CVE-2025-56814,has_weakness,CWE-77
CAPEC-636,maps_to,T1158
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG2R-A1
CAPEC-202,maps_to,T1203
CAPEC-206,maps_to,T1587.002
CAPEC-216,maps_to,T1098
CAPEC-596,maps_to,T1134.005
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2521-W-1
CWE-862,mapped_to,CAPEC-665
T1542.005,mitigated_by,Boot Integrity
CAPEC-161,maps_to,T1494
CAPEC-187,maps_to,T1204.003
CVE-2025-69162,affects,ThemeREX:Grecko
CVE-2026-11989,affects,"bitpressadmin:Bit integrations – Form Integration, Webhook, Spreadsheets, CRM, LMS & Email Automation"
T1003.003,mitigated_by,Password Policies
T1219.002,mitigated_by,Execution Prevention
CVE-2026-10828,has_weakness,CWE-134
CAPEC-551,maps_to,T1574.011
CAPEC-123,maps_to,T1565.002
CAPEC-551,maps_to,T1501
CVE-2026-0143,affects,Google:Android
CAPEC-249,maps_to,T1181
CAPEC-113,maps_to,T1565.003
CWE-200,mapped_to,CAPEC-317
CAPEC-692,maps_to,T1082
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG2V-E3
CVE-2026-42895,has_weakness,CWE-77
CVE-2025-58952,has_weakness,CWE-98
CVE-2026-11832,has_weakness,CWE-338
CAPEC-471,maps_to,T1574.004
CVE-2026-12568,has_weakness,CWE-22
CVE-2026-48505,has_weakness,CWE-841
CVE-2026-8806,affects,Mitsubishi Electric Corporation:Mitsubishi Electric MELSEC iQ-F Series FX5-ENET/IP Ethernet Module FX5-ENET/IP
CVE-2026-39539,affects,Edge-Themes:Alloggio - Hotel Booking
CAPEC-632,maps_to,T1689
CVE-2025-31013,has_weakness,CWE-79
CAPEC-54,maps_to,T1542.001
CAPEC-25,maps_to,T1187
CAPEC-15,maps_to,T1027.010
CWE-257,mapped_to,CAPEC-49
CAPEC-522,maps_to,T1021.003
CVE-2026-2604,affects,Red Hat:Red Hat Enterprise Linux 9
CAPEC-226,maps_to,T1565
CVE-2026-9690,has_weakness,CWE-22
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-X2526-W
CAPEC-168,maps_to,T1555.004
CWE-1297,mapped_to,CAPEC-180
CVE-2026-42014,affects,Red Hat:Red Hat Enterprise Linux 10.0 Extended Update Support
CVE-2026-56317,has_weakness,CWE-79
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN18VG2W-E2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY50VGK-SC1
CAPEC-663,maps_to,T1035
CAPEC-425,maps_to,T1608.005
CAPEC-573,maps_to,T1055.013
CVE-2026-2604,has_weakness,CWE-73
CVE-2025-52465,has_weakness,CWE-73
CWE-327,mapped_to,CAPEC-614
T1078.001,mitigated_by,Multi-factor Authentication
CAPEC-545,maps_to,T1499.004
CAPEC-168,maps_to,T1685.001
CAPEC-180,maps_to,T1562.011
CVE-2026-48502,has_weakness,CWE-125
CVE-2026-12567,affects,Black Lantern Security:BBOT
CVE-2026-52719,has_weakness,CWE-125
CVE-2026-56294,has_weakness,CWE-287
CAPEC-90,maps_to,T1131
CAPEC-680,maps_to,T1687
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT35VGK-ER1
CWE-74,mapped_to,CAPEC-78
CVE-2026-12039,has_weakness,CWE-923
CVE-2026-9733,has_weakness,CWE-340
T1055.009,mitigated_by,Behavior Prevention on Endpoint
CVE-2026-35067,has_weakness,CWE-284
CAPEC-185,maps_to,T1518.002
CAPEC-272,maps_to,T1094
CVE-2026-54298,affects,withastro:astro
CVE-2026-12111,affects,codepeople:Appointment Booking Calendar
CVE-2026-35285,has_weakness,CWE-284
CVE-2019-25761,affects,Joomboost:JoomCRM
CAPEC-113,maps_to,T1098
CVE-2026-12048,has_weakness,CWE-116
CVE-2026-12330,has_weakness,CWE-119
CVE-2026-50886,has_weakness,CWE-284
CVE-2026-0646,affects,Rockwell Automation:FLEX I/O EtherNet/IP Adapters
CAPEC-82,maps_to,T1210
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-X5626S-W
CAPEC-556,maps_to,T1547.006
CVE-2026-56340,has_weakness,CWE-20
CAPEC-551,maps_to,T1489
CVE-2026-10825,affects,Moxa:NPort 6000-G2 Series
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF42VGKS-ET1
CAPEC-556,maps_to,T1176.001
T1667,mitigated_by,User Training
CVE-2026-12457,has_weakness,CWE-693
CVE-2026-25446,affects,"WishList Products, LLC.:WishList Member X"
T1601.002,mitigated_by,Multi-factor Authentication
CAPEC-277,maps_to,T1494
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW9023S-T
CAPEC-388,maps_to,T1055.003
CVE-2026-50872,has_weakness,CWE-94
CVE-2026-47341,affects,Apache Software Foundation:Apache APISIX
CAPEC-384,maps_to,T1213.005
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT35VGK-E2
T1559,mitigated_by,Application Developer Guidance
CAPEC-108,maps_to,T1055.011
CAPEC-122,maps_to,T1548
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LZ50VUFB-ET1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VGB-ER1
CAPEC-20,maps_to,T1556.005
CVE-2026-49357,affects,dtwang:line-desktop-mcp
T1053,mitigated_by,Restrict File and Directory Permissions
CAPEC-655,maps_to,T1009
CVE-2026-56409,has_weakness,CWE-190
CVE-2026-46866,affects,Oracle Corporation:Oracle Enterprise Manager Base Platform
CAPEC-657,maps_to,T1213.004
CAPEC-260,maps_to,T1550.001
T1584,mitigated_by,Pre-compromise
CAPEC-135,maps_to,T1181
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM4023E3S-W
CWE-91,mapped_to,CAPEC-83
CAPEC-206,maps_to,T1156
CAPEC-555,maps_to,T1114.002
CVE-2026-39441,has_weakness,CWE-89
CAPEC-96,maps_to,T1528
CAPEC-500,maps_to,T1674
CWE-565,mapped_to,CAPEC-31
CAPEC-657,maps_to,T1554
CVE-2026-48774,has_weakness,CWE-20
CVE-2026-53537,affects,Kludex:python-multipart
T1036.012,mitigated_by,Audit
CWE-693,mapped_to,CAPEC-65
CVE-2026-2381,affects,woocommerce:WooCommerce Stripe Payment Gateway
CWE-269,mapped_to,CAPEC-58
T1595.001,mitigated_by,Pre-compromise
CAPEC-408,maps_to,T1213
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZY5625S-W
CAPEC-389,maps_to,T1565
CAPEC-664,maps_to,T1648
CAPEC-383,maps_to,T1685.001
CAPEC-182,maps_to,T1221
CWE-308,mapped_to,CAPEC-600
CAPEC-478,maps_to,T1569
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VGV-A1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG3W-E1
CVE-2017-20266,affects,Joomshaper:SP Movie Database
CAPEC-692,maps_to,T1564.010
CAPEC-136,maps_to,T1546.012
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG2W-ET2
CAPEC-226,maps_to,T1493
CAPEC-604,maps_to,T1016.002
CAPEC-180,maps_to,T1101
CVE-2026-0153,affects,Google:Android
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-HXV8023S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LZ25VUFB-ET1
CVE-2026-40796,has_weakness,CWE-497
CAPEC-51,maps_to,T1608.006
CAPEC-560,maps_to,T1556.001
CWE-836,mapped_to,CAPEC-652
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-FT35VGK-SC2
T1036,mitigated_by,Execution Prevention
CVE-2026-46930,affects,Oracle Corporation:Oracle In-Memory Cost Management for Discrete Industries
CVE-2026-42649,has_weakness,CWE-79
CWE-308,mapped_to,CAPEC-560
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN18VGW-E1
CVE-2026-12528,affects,Red Hat:Red Hat Enterprise Linux 9
T1553.004,mitigated_by,Software Configuration
CVE-2019-25754,affects,Wdmtech:vRestaurant
CVE-2026-40788,has_weakness,CWE-862
CAPEC-203,maps_to,T1058
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY20VGKP-ET1
T1222.001,mitigated_by,Privileged Account Management
CAPEC-501,maps_to,T1497.002
CAPEC-183,maps_to,T1181
CWE-1275,mapped_to,CAPEC-62
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZ6326S-W
CVE-2026-6733,has_weakness,CWE-367
CAPEC-643,maps_to,T1019
CAPEC-701,maps_to,T1185
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF35VGK2S-E2
CAPEC-202,maps_to,T1592.004
CAPEC-583,maps_to,T1686.002
CAPEC-461,maps_to,T1574.005
CVE-2026-49286,affects,pontedilana:php-weasyprint
CVE-2026-9678,affects,undici:undici
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-R3625-W
CVE-2026-22343,has_weakness,CWE-862
T1003.002,mitigated_by,User Training
T1613,mitigated_by,User Account Management
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT35VGK-E3
CAPEC-454,maps_to,T1200
CVE-2026-39594,affects,Themefic:Ultra Addons for WPForms
CVE-2026-46964,affects,Oracle Corporation:Oracle Universal Work Queue
CAPEC-561,maps_to,T1214
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2823S-W
T1550.003,mitigated_by,Active Directory Configuration
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF42VGK2W-ET1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VGV-E1
CAPEC-309,maps_to,T1556.008
T1505.005,mitigated_by,Audit
CVE-2026-12298,affects,Mozilla:Thunderbird
CVE-2026-46893,affects,Oracle Corporation:JD Edwards EnterpriseOne General Ledger
CAPEC-88,maps_to,T1609
CAPEC-134,maps_to,T1087.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-DA25VFK-E1
CAPEC-65,maps_to,T1550.001
CVE-2026-54274,has_weakness,CWE-770
CWE-262,mapped_to,CAPEC-509
CVE-2026-12458,has_weakness,CWE-451
CVE-2026-8811,affects,SEPPmail AG:Secure Email Gateway
CVE-2026-35300,has_weakness,CWE-502
CVE-2026-47203,affects,authelia:authelia
CAPEC-248,maps_to,T1675
CAPEC-648,maps_to,T1114.001
CAPEC-185,maps_to,T1027.002
CWE-200,mapped_to,CAPEC-319
CAPEC-150,maps_to,T1036.005
CVE-2026-46780,affects,Oracle Corporation:WebCenter Content: Imaging
CVE-2026-50874,affects,n/a:n/a
CAPEC-581,maps_to,T1045
