source,relation,target
CAPEC-385,maps_to,T1010
CAPEC-692,maps_to,T1094
CAPEC-165,maps_to,T1098
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZ9025S-W
CVE-2026-48715,has_weakness,CWE-121
CAPEC-278,maps_to,T1505.005
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP20VGK-E2
T1137.002,mitigated_by,Software Configuration
CAPEC-547,maps_to,T1120
CAPEC-580,maps_to,T1497.001
CAPEC-38,maps_to,T1596
CAPEC-220,maps_to,T1021.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK4026S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG3B-ET1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP50VGK-ET1
CVE-2026-42378,affects,Themeisle:WP Full Stripe Free
CVE-2026-39519,affects,Ahmad:GeekyBot
CAPEC-395,maps_to,T1015
CAPEC-461,maps_to,T1176
CAPEC-11,maps_to,T1584.003
T1542.005,mitigated_by,Limit Access to Resource Over Network
CVE-2026-54268,has_weakness,CWE-1333
CAPEC-509,maps_to,T1208
T1176.001,mitigated_by,Limit Software Installation
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VGB-ER1
CAPEC-667,maps_to,T1684.001
CAPEC-216,maps_to,T1493
CAPEC-389,maps_to,T1527
CAPEC-643,maps_to,T1543.002
CAPEC-388,maps_to,T1499.003
CVE-2026-52702,affects,wp-buy:SEO Redirection
CAPEC-390,maps_to,T1052
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY35VGKP-SC1
CAPEC-681,maps_to,T1499.004
CAPEC-586,maps_to,T1619
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-RK2824-W
CAPEC-183,maps_to,T1690
CWE-707,mapped_to,CAPEC-64
